QID	LABEL	BODY
Q269_R3	0	I really would like to know where the best place to catch fish here in Qatar is. But ofcourse from the beach . I go every week to Umsaeed but rerly i catch somthing ! So experianced people your reply will be appreciated.
Q269_R7	0	Hi what is the best beach place for camping and swimming for my family ? someone say to me in the north (front of Ghoria ) ! Need quiet place :)
Q269_R10	0	hi QL where is the best place to live in Doha for a family with children and the average prices for each on U/F basis for 2 rooms for quits and clean and modern areas :)
Q269_R26	0	A cup of coffee and a nice view is a plus as well :)
Q269_R27	0	Where in Qatar is the best place for Snorkeling? I'm planning to go out next friday but don't know where to go.
Q270_R37	0	I visited the following places during the Eid holidays: 1.Al Khor (Corniche; Lulu) 2.Simaisma (Beach; Park) 3.Sealine beach (Mesaieed) 4.Sheikh Faisal Museum (Shahaniya) 5.Al Wakra (Beach; Park) 6.Aspire park; Villagio Planning to visit Zubarah fort and Zekreet fort in the coming days.. Any other interesting places to add on to this list friends??
Q270_R51	0	Is there a good place here where i can spend some quality time with my friends??
Q270_R58	0	any suggestions on what are the happenings in Qatar on Holidays? something new and exciting suggestions please?
Q270_R84	2	Holiday Destinations and your experience.
Q271_R63	0	Hi everyone; I just wanted to do a survey and see how many of you; people already in Doha and people coming to Doha; would hire the services of a professional interior designer to design your home rather than do the thinking; designing; shopping; dealing with contractors yourself. And would you want something creative; a designer home or just home furnishing.
Q272_R15	0	hi friends. my name is Inez ahmed. im from Indonesia. My husband is a SAP specialist. Two weeks ago; he was interviewed by Qatar Petroleum and have sent his sertificate. does anyone know about the process of recruitment in Qatar Petroleum. how long is it? i need more information about Qatar Petroleum. thank you.. best regards; inez ahmed wassalam mualalikum
Q272_R30	0	Hi I got final offer from QP; as grade 13; Civil Engineer. I have 11 years exp; indian national. Basic 14K; Housing 16K; Currency 1K; Furniture 55K for five years; Transport 2K; Medical and Insurance for self and family; Education allowance up to 4 kids; Yearly vacation; yearly increase 7% performance base; Indifnite contract. Is this good offer? i am married with 1 kid. 
Q272_R51	1	Elsalam Alikom every one Any one know about qatar petroleum technical site interview process ( 2days visit) as i recive the visit visa and they ask me for the earlist date to attand and also how much does it take to decide the day of interview ?? Many thanks
Q272_R52	0	Anybody here who can give advice about working for QP vs. Aramco. What are the main differences; pros/cons between the two? I'm in final talks with both companies; no offers yet but looks promising. Background info: Finance Manager; 40 years; divorced; currently with BP; UK national.
Q273_R39	1	I am in the process of coming over to work in Doha. I wanted to know if their were any specific shots and vaccinations I should get before coming over. I want to try and get these things completed before I leave the US. Any insight would be much appreciated.
Q273_R60	2	Hmmmmmmm..... I think someone made a lot of money on the cure??? I wonder who...We spent billions to not get it... And were the ones who made it... All those shots for nothing... Freaking Liars... Shyt
Q273_R76	1	I am considering getting a job in Qatar and I have two very well behaved people friendly spayed pitbulls. Apparently this breed is banned. Would I have trouble importing them? If anything happened to the dogs; my husband would die; and he will not leave them in Canada if we go away. So I have to be sure they would be ok to be imported before considering taking a job.
Q274_R7	0	im coming in qatar this coming oct. 30 what cloths should i bring? can u pls help me..i dont know what dress what shoud i pack.. thank you
Q274_R41	1	What is the weather temperature like in Doha at the moment? I have been reading the Forum Topics about the need for heaters during the winter months. Am quite worried.
Q274_R68	1	i am just curious how cold is doha during winter?
Q275_R9	0	I recently came home with a Puddy Tat from Qaws and cant think of a name. Its a male. Can someone tell me what ""cat""is in arabic please?"
Q275_R16	2	Look at this person posting a persian cat for sale in Ql Classified Ads... if you dont want the cat; give it to someone who could take care of it; you bozo...grrr! http://www.qatarliving.com/node/2775833 http://www.qatarliving.com/node/2775949
Q275_R44	2	Jesus....a Muslim or a Christian?? See attachment.
Q276_R8	0	I'll be leaving Qatar in a few months.  I want to sell my car.  How long does it take to sell a car?  A few weeks?  One month?  A few months?
Q276_R18	0	prado or pajero is the best for doha..  calculating comfort/resale value/maintainence/cost etc .... which one do u prefer between these two??
Q276_R27	0	Having read a lot about about the 'hectic' driving in Doha I was wondering whether car insurance is quite costly. I'm a 25 year old male from the UK and I've never made a claim; am I likely to be paying through the roof to insure my V8 4x4 that I intend to buy when I move to Doha next month?
Q276_R37	0	Can anyone recommend a place to have Automobile Window tinting applied?
Q277_R4	1	While driving in Doha last night I witness a sad incident. A man was driving with his child on his lap. He had to make an emergency stop and his childs head impacted the steering wheel. The poor child was bleeding and crying. Many times I have seen children not properly secured in vehicles. Is there not a law regarding child safety in vehicles here in Qatar?
Q277_R5	0	hi all good morning i would like to know whether qatar gov has stopped impossing fine for trvling with kids in front seat. these days i find every mothers sitting in front with their kids...i too have a kid and would love to do so....but hesitant as not sure about the rule ........ you have any idea?
Q277_R13	2	Just a question: Why don't Qatari people buckle up their children in the car? I even saw a lot of babies on their mother's laps in the front seat; this is too dangerous!!! Please do it for the children!!!!!!
Q277_R17	1	What carseat brands are available in Qatar? I´m just not sure if I should bring the kids carseats from Norway; not sure how the airlines will treat the seats; and are a bit worried that they will break them.
Q277_R19	1	Any one knows; Is it allowed to keep one year old kid in the lap of her mom in the front seat( not in the driving seat; of course)?
Q278_R7	2	Anyone interested in doing regular clean ups of some of the dunes and beaches in Qatar? The kind of mess people leave behind is disgusting... if we can form groups and take turns on weekend to go around and do some clearing it would be great. We can start with the singing dunes area; then check out beaches near umm baab etc.
Q278_R14	2	Hi everybody As everybody know; that beach is just a big dump of trash. Why we don't organize some kind off group that could take care; clean and protect the beach. Do anybody know where to start; and do we need authorization from the Government to take some action; like grade and clean the beach? Some money will be needed; if there is a start point I can participate with 1000 rials. Maybe it seams like a crazy idea; but Qatar deserve it; not just come here and take the money
Q278_R28	0	Hi can anyone tell if its okay to do overnight at umm bab beach? thanks!
Q278_R34	2	http://www.gulf-times.com/site/topics/article.asp?cu_no=2&item_no=251677&version=1&template_id=57&parent_id=56 According to the Gulf Times one of our members at QL; Speed; is a hell of a guy. Read all about him and bow to his engagement. Bravo; Speed.
Q278_R41	1	any private beaches in Qatar?let me know if i can take my booze for beach party
Q278_R45	2	Surrounded by pleasant waters and not ONE public beach! Ridiculous.
Q279_R27	0	- Where can I find a car dealing who would provide me with a price estimate for 2011 Toyota RAV4. I need to know the value of a car and have an official estimate for it. -how much would this service cost?
Q279_R33	0	I have just had a call from Nissan Service Centre (Ind area) about the cost to fix my AC on my car - just shy of 20;000QAR!! Call me old fashioned but does this not seem rather alot to pay and it was almost as if the guy was glad to be telling me; like he was proud to rip off his customers. Please tell me this is not so; any thoughts out there as to somewhere else to take my car???
Q279_R36	0	Dear All; After years under the direct sun-light; the thin material covering the inside roof has come down; as shown in the photo. I know this happens to quite a few cars in the middle east. What to do now and where should I take the car for a fix? Thank you!
Q280_R19	1	i tried getting contact numbers of a couple of places; but they wouldnt answer the phone!
Q280_R21	0	I dont know what is happening to all my inhouse plants . they just wont survive. I changed manure; but in vain. put them in sunlight. gave them ventilation tried all tactics but they would just die away. turn black. watz happening can anyone suggest me?
Q280_R39	0	Hi guys Just wanted you to talk about the best and fast growing business in Qatar now adays with a small amout on cash? If you wanted to start a business what would you do with 500;000 Qr? Business is a combination of war and sport.
Q280_R41	1	Please anone explain me regading Homoglobin bcz Doctor told me your homoglobin is low! thanks
Q280_R45	1	Hello to all! To get rid of my collected old bottles; paper; glasses and so on i ask you - Where can I find some recycling places in Doha? I know this sphere is not very advanced in that state. Please tell me exact locations; with things I can bring to and if necessary the business hours! p.s. Please no discussion about the usefulness of recycling. I want to do it anyway!!!
Q281_R56	2	is doha one of the most boring places ever?
Q282_R16	0	MANY OF OUR CHILDRREN ARE BORN WITH SOME HANDICAPS; WHICH REQUIRE SPECIAL EDUCATIONAL SKILLS; I HAD POSTED MANY CLASSIFIEDS FOR TEACHING THESE CHILDREN BUT THE RESPONSE IS ZERO; IT SEEMS PARENTS ARE RELUCTANT TO GIVE THE CHILDREN THE WINDOW TO LIFE OR THEIR ARE ZILLION SCHOOLS RUN IN QATAR FOR WHICH WE DONOT HAVE ANY KNOWLEDGE ABOUT. CAN SMEBODY HELP TO LOCATE THESE SCHOOLS???? PARUL DESAI
Q283_R26	2	I noticed many people do not respect local Qataries or they do not respect the country. They come here without having an idea about our culture and religion. All they think about is how much salary they will take. We as a Qataries feel worried about the thousands of outlandish people and we try to be open with others but if they respect our culture and our land. What do u think..?
Q283_R39	0	I want to share with someone what i get on my dinner table? how? Please don't ask me who; so many!
Q284_R8	2	I was very surprised to see Scientology - trying to get converts in Qatar This belief system is banned in some countries such as Germany (i think) and the founder openly ridicules Islam. http://www.youtube.com/watch?v=ZbT6bQi-1bw The founder's books are available at the book fair - near the AWQAF (ministry of islam) stand....at the front entrance. So if you were offended by the Danish cartoon.... this is much worse and these people are here with their books!
Q284_R29	1	Hi; Just wanted to confirm Qatar's National Day. Is it 18th of December? Thanks.
Q284_R33	2	What is the Islam meaning of the Crescent Moon symbol? The Christians have the cross; the Jews have the star of David; and the Muslims have the crescent moon; right? What is the history behind the Crescent Moon symbol? What does it symbolize or mean? Is it a valid symbol for the faith of Islam?
Q284_R38	2	Dirty fool idiots & Nonsense people have no righ to live in this world. am i RIGHT ?????
Q284_R59	0	Any affordable gym for a guy who's earning QAR2000 a month?
Q284_R66	2	A very happy teachers day to all teachers. Thank you for nurturing your country's future. Your nation remains indebted to you. Are you a Teacher? If not... why not? Do spread whatever little you know to kids around you. Especially those who do not have anybody to help them learn... There is always a lot more you can do than you can imagine!!! open your eyes.. the kid out there might need you...
Q285_R4	0	hi i am a new user; my first post. i will be visiting doha for the first time for a job interview in a couple of weeks and i have looked on a couple of maps to to no avail. can any one please direct me to the lulu hypermarket ??? in which area is this located and decent large land marks. so i cross refer back to on my maps thanks in advance.
Q285_R20	1	How to get to US Embassy Qatar? I am set for an appointment and I do not know the driving directions. Need your help :) Thanks in advance!
Q285_R33	0	hi all; where can we get decent fruits and vegetables? (the ones at carrefour are just really bad) and also decent fresh bread.... thanks in advance!
Q286_R21	1	Hi; please can you help; My wife does not have NOC from Qatar Airways; but we are married now so can i bring her legally on my family visa as her husband? Thanks!
Q287_R11	0	My wife and I will be moving to Qatar in September; can anyone give us some info of what to expect and basic advice? Also I am an ex pro footballer looking for a decent standard football any clues to contacts etc and how i get involved out there?
Q287_R13	0	Have been here a couple of weeks. Drove around te Corniche; but couldn't find access to a proper sandy public beach. Can anyone please advise on where to go (which area of Doha) ? 
Q287_R20	2	How long You have been away from your own Country? Lets start - Me 17 Years :)
Q287_R22	0	Every one has his own experience when it comes to summer vacation places;what do you think is the best place to spend summer vacation from your experinece What places do you recommend?
Q288_R13	2	lot of faces i see in the corniche jogging in the evening; and some jog in groups.. any QLers out there?
Q288_R18	2	Does anyone have any New Year's Resolutions? Mine is to get fit and healthy! So I'm going to be running the Doha Dash; if you haven't heard of it check it out... www.dohadash.com www.facebook.com/dohadash
Q288_R39	0	I know that inline skating; jogging; biking ect... are ok basically anywhere in Doha but skaeboarding always seems to get a bad wrap wherever I go.  Is this the same in Doha?  Im not talking about destroying property or anything like that but it is often view that way while im simply entertaing myself the same as the rest.  Please do not suggest dune surfing; that looks like all of 5 seconds of fun.  Thanks all!
Q288_R49	2	Such a beautiful morning today...first time i have seen huge cloudy weather in Qatar...woke up at 4 30 and had a long walk in Corniche...OMG it was so nice today..
Q289_R6	2	I am the only English lady who likes the Qube? The music is good to dance too; the people are friendly and the prices reasonable but whenever the name is mentioned all people talk about is the ""ladies for sale"" there; for goodness sake like most places if thats what you want then good luck..... Whatever anyone says I like going there ;-) B x"
Q289_R22	0	The bouncer told me that its open only for members and membership is 15000 riyal. I know he basically shooed me away with the figure. Found this quite pathetic as I called them and confirmed if single guys can enter. This really sucks. And the worst part is that I just got here. Any other places where a man can get a drink on a thursday night?
Q289_R31	1	does anyone know what time the Harp opens on a friday? thanks
Q289_R35	1	Friends Anybody knows anything about Disco bars in qatar? Thanks
